,coef
model_LA-4-200,24.398205952167793
purpose_of_flight_OWRK,24.089581131668268
purpose_of_flight_EXEC,24.05790952856854
purpose_of_flight_FERY,24.04682652721884
purpose_of_flight_UNK,24.01069379897054
purpose_of_flight_AOBV,23.926173751820038
purpose_of_flight_PUBF,23.837110111523415
purpose_of_flight_PUBL,23.746763158818595
purpose_of_flight_BUS,23.74023463377783
purpose_of_flight_INST,23.703451899549748
purpose_of_flight_PERS,23.69791534468193
purpose_of_flight_PUBS,23.641662408040922
purpose_of_flight_FIRF,23.523024940283563
purpose_of_flight_PUBU,23.497982747129356
purpose_of_flight_POSI,23.368509361077553
purpose_of_flight_FLTS,23.26838143411668
purpose_of_flight_EXLD,22.85564987247985
model_A-1B,1.9208324981582712
is_accident,1.7698675803540853
model_R44 II,1.5036500745130366
make_MCDONNELL DOUGLAS HELICOPTER,1.4559382433753927
model_DC-3C,1.394822488055677
model_SC7,1.382276368036036
make_CONSOLIDATED AERONAUTICS INC.,1.3582549871587095
model_177,1.2791462427109601
model_M-7,1.1440111749534272
model_R22,1.0765737714005568
make_EUROCOPTER FRANCE,1.069456977228858
model_M-7-235,1.033120370023251
model_DC-6B,1.0159961658370562
model_150L,1.0001107888280762
model_PA-32-260,0.9946092806403614
make_INTERSTATE,0.9841889925916534
model_FH-1100,0.9700567228609553
model_G-21A,0.9691721669731015
make_ENSTROM,0.9659553423805726
model_DHC 2,0.9473208259839002
model_M-5-235C,0.940965525807286
model_PA-28-140,0.9345217477294592
make_MCDONNELL DOUGLAS,0.9213808538618501
model_PA-28-180,0.9000722819356973
model_M-4-210C,0.8961577644872245
model_U206E,0.8689963934092029
model_UH-1B,0.8678361373194987
model_PA-18A-150,0.8571474597616182
model_J3C-65,0.8430822887527434
model_T207A,0.8138436079549524
make_ROCKWELL,0.7935094633518255
model_PA-18A,0.7831660751596159
model_AS350,0.748785345016838
make_MOONEY,0.7418012492661838
event_hour_2,0.7384425651992638
model_PA-32R-301,0.7358483347422331
model_7HC,0.721538281341622
make_BELLANCA,0.7035522053545166
model_PA-11,0.6488139591607733
model_PA-28,0.6422980779785822
model_M-6-235,0.6335990142165211
model_208B,0.6152710961364396
model_150F,0.6086438694846743
make_ARTIC AIRCRAFT CORP.,0.5668433960601263
model_BEAVER DHC-2,0.5587424940776268
model_DC-3,0.528442586805745
make_STINSON,0.5242954328499869
make_CHAMPION,0.5191362967889083
model_172N,0.513184912201936
model_PA-18-135,0.5063217428355322
model_210,0.4937785023637066
model_PA-12-150,0.4926768152024772
make_BRITTEN-NORMAN,0.4796259342283926
model_M-5,0.47795436304404937
model_F-19,0.4546984566724954
model_150M,0.4462158930523138
model_P206C,0.44235074629186744
make_DE HAVILLAND,0.4423101734252608
model_402,0.43454253650031216
make_BELL,0.43428916734097894
model_PA-32R-300,0.43221686630209777
model_BC-12D,0.4300462141835205
model_737-400,0.41101528078283434
model_214B-1,0.3963925933810612
model_PA-31-310,0.3937529443371442
model_150D,0.38763211837657996
model_PA 18-150,0.3851683162284552
amateur_built,0.3793385485274659
make_FAIRCHILD,0.37085941195572686
model_172P,0.3530461272883657
model_177RG,0.3278894810761748
model_182B,0.3115742405564159
make_AERONCA,0.3079947342450379
make_HUGHES,0.3075798352135338
model_G-44,0.30363743593083653
model_M-4-220C,0.30085070874840997
model_PA-31-T3,0.29784234680832666
model_BC12-D,0.2922263520107911
model_150H,0.2916238686724013
make_SWEARINGEN,0.2914714029969565
make_LUSCOMBE,0.2882844003819107
event_hour_1,0.2873792561091703
model_208,0.2751534253123241
model_U206C,0.27081297886786215
make_BEECH,0.2672517995324358
model_U206G,0.26315310521260277
model_A185E,0.254631284265507
model_175,0.24791231260322955
model_PA-38-112,0.23750856778346385
make_DEHAVILLAND,0.23235397540580993
model_207A,0.23196719206623345
make_UNCOMMON MAKE,0.22865145502640943
model_U206F,0.21553723893225168
model_M-4,0.2107372097889002
model_PA-18-180,0.20862793128969584
model_H 295,0.20772366361098604
make_EUROCOPTER,0.20398207148818492
model_PA-32-300,0.2024221586586946
model_BEAVER DHC 2,0.19662459624154427
model_PA-28-181,0.1902298729302368
model_UNCOMMON MODEL,0.186820756767093
model_R44,0.1863673162556414
make_CESSNA,0.17577769960466127
model_BN-2A,0.17324122618643406
model_PA-12,0.17093315609721493
event_hour_5,0.1670717554076127
model_206,0.16536354036447404
model_PA-32-301,0.16214545692787202
model_206G,0.1620972458814894
model_180J,0.15074736587907323
make_BOEING,0.1482274495366832
scheduled_UNK,0.1464498928196611
model_180H,0.1385837742705786
model_369D,0.13801163853121995
model_A-1,0.13725610029804747
model_BEAVER DHC-2 MK.1,0.13043026810961816
model_185E,0.11069119783853987
make_PIPER,0.10836154352175881
model_207,0.10392893444375306
make_SIKORSKY,0.10225979319163309
model_PA18,0.10113522230558808
model_PA 18A 150,0.0965152665783548
model_180F,0.09478405039591553
model_H-295,0.09143197555007032
make_TAYLORCRAFT,0.07721743311841356
model_J-3,0.07250526339807906
model_PA-31-350,0.06939300811391957
model_185A,0.06909684207258127
model_U206,0.0684703055915967
model_185,0.057532663516811855
model_182C,0.05626165159154667
model_DHC-3,0.0493797894054685
model_7GCB,0.04664637500753488
model_H-250,0.045120237804973734
event_month_12,0.030885776191288364
event_month_8,0.022183480754705137
model_TU206,0.008979484493904344
make_GATES LEARJET,-2.3034487341770945e-09
model_8KCAB,-2.8856287554128984e-09
scheduled_SCHD,-0.0009634555454153537
longitude,-0.0021308676669370362
latitude,-0.00763609751070946
model_7AC,-0.008354332759251792
event_month_7,-0.01999038891553137
make_EMBRAER,-0.02384431615104704
make_GRUMMAN,-0.03834888792512825
purpose_of_flight_SKYD,-0.04167842304464667
model_A185F,-0.05322132296068141
model_PA-14,-0.05720951884375186
model_182,-0.060243104098477385
event_month_11,-0.06303628320639179
event_month_10,-0.0770565979572471
model_PA-18,-0.0779220845750705
model_PA-18-150,-0.07924752696977985
model_8A,-0.0813250296945458
model_PA-22-160,-0.0837245766664877
make_SHORT BROTHERS,-0.08568568622182127
model_120,-0.08793147510959783
model_402B,-0.09050736097220652
model_DHC-2,-0.09245421244827318
model_T207,-0.09446731473879144
model_150,-0.09520681512756062
model_PA-31,-0.09640019910426398
event_month_2,-0.09641163617451995
event_month_5,-0.1003116791288705
model_PA-22,-0.1125007977772019
event_month_4,-0.11656542950258983
event_month_9,-0.13301772907558157
model_F-28F,-0.13915625524964073
model_180A,-0.1464243174091512
make_AEROSPATIALE,-0.14880088600536623
model_18,-0.14978248871189564
weather_condition_Unknown,-0.15258184650594298
model_172K,-0.16211676547831055
event_month_3,-0.16319423264212832
model_172,-0.1658589634112643
model_1900C,-0.16809380279273883
model_PA-32,-0.17861178538033431
model_108-3,-0.18143204012150838
model_11AC,-0.18568894403413744
model_206B,-0.18741203520160954
model_PA32R,-0.18966553311074352
model_PA-16,-0.19560196540997066
event_month_6,-0.19920261750881682
event_hour_10,-0.23270663171497893
event_hour_14,-0.24276269690800992
model_GLASTAR,-0.24779275862687308
event_hour_15,-0.25086481375207337
event_hour_4,-0.25660380513607517
event_hour_19,-0.25738712866326174
event_hour_7,-0.2574368764793369
occurred_near_airpor,-0.2599167337271676
model_172M,-0.26755357537055957
model_PA 12,-0.2799919683391384
event_hour_17,-0.29310811001193604
make_AVIAT,-0.2962072771752431
event_hour_21,-0.2982817159412691
model_185F,-0.31595001396288325
model_7GCAA,-0.32398314406719014
make_MAULE,-0.33444907149779746
model_J5A,-0.3361461371164154
event_hour_9,-0.3433954562747817
make_HELIO,-0.34921807061903637
event_hour_20,-0.3558827397144817
event_hour_22,-0.3597422325660281
event_hour_6,-0.3772356227992733
model_108-2,-0.38044550585904113
event_hour_11,-0.3822443760389095
event_hour_23,-0.392973216750893
model_F19,-0.4076574927847314
model_C-207,-0.41666212044557266
event_hour_18,-0.41676595199810823
make_ROBINSON HELICOPTER,-0.41828290441421107
event_hour_16,-0.42545732412972953
event_hour_12,-0.43774854359809773
event_hour_13,-0.4494242156598689
model_PA22,-0.45007087879140717
model_A185,-0.450217933453267
event_hour_8,-0.45112231722208845
model_170,-0.45603703978878996
model_170B,-0.46443281766683453
model_AS-350-B2,-0.48665603920402445
model_PA-20,-0.4920614697186061
make_DOUGLAS,-0.5143256271225696
model_500D,-0.519870740696563
model_206L-1,-0.520365226075839
model_PA-18-160,-0.5235550481542913
model_152,-0.5241401442860338
model_8GCBC,-0.5401159507346032
model_7GCBC,-0.5426669837531128
model_PA 18,-0.5452652905632354
make_AIRBUS,-0.5583092910203398
model_180K,-0.5625945018550352
model_DHC-3T,-0.5889797530443497
model_7ECA,-0.6221682806194027
model_7GC,-0.6458352625915129
model_212,-0.6708820162340798
model_180,-0.6749405110208742
event_hour_3,-0.6800029583362661
model_7EC,-0.6808256741122667
model_180B,-0.7476779215033298
weather_condition_VMC,-0.8392026951536355
make_ROBINSON,-0.8714931113348219
model_S-1B2,-0.876630041099703
model_170A,-0.8863980231164329
model_DHC-6-300,-0.8963957095514556
model_15AC,-0.9075049582268231
model_PA-22-150,-1.2159762689287699
make_ROBINSON HELICOPTER COMPANY,-1.532692550747402
model_140,-1.9310000765109248
make_AVIAT AIRCRAFT INC,-2.1018277478441876
model_R-44,-22.322242295281683
model_H295,-22.349500016677407
model_M-6,-22.80302547586185
model_R-22,-22.979204152120825
model_M4,-22.99284069192403
model_M5,-23.079498028634703
model_M-5-210C,-23.087910426945022
model_180C,-23.146685485535688
model_PA-22-108,-23.338302349890665
model_PA-18A 150,-23.367480752361093
model_747-400,-23.37578900471452
model_PA 18-135,-23.377619817942815
model_172H,-23.384696163426458
model_PA32,-23.387954215347353
model_182P,-23.429921573533036
model_182H,-23.448017033219266
model_BC12D,-23.47485384379277
make_FOUND ACFT CANADA INC,-23.480661873469625
model_PA 20,-23.50129947425607
make_CURTISS-WRIGHT,-23.511344010172078
model_PA-32R,-23.513651094777547
model_150G,-23.52597104821208
make_CHRISTEN INDUSTRIES,-23.526291388782937
model_7DC,-23.530278713675138
model_TU206A,-23.55777579998057
model_182A,-23.57613642921631
model_PA31,-23.582225203472817
make_LOCKHEED,-23.58301871618307
model_J3,-23.593731914251585
make_CUB CRAFTERS INC,-23.598759372733305
model_8E,-23.653172795134566
model_402C,-23.676668488902564
model_A36,-23.723046188482115
make_LAKE,-23.750146271909763
model_C-82A,-23.79321909901049
model_108-1,-23.820589971890826
model_DHC-2 MK. I(L20A),-23.824498646834527
make_HILLER,-23.8590503758848
model_AVID FLYER,-23.93734604781522
model_7KCAB,-24.003189236801514
model_DHC2,-24.07838018533151
model_DHC-6,-24.11847539031337
model_MD-82,-24.20676760873771
make_SHORT BROS. & HARLAND,-24.30387406374799
const,-25.6958166312747
